REF_ID,PRED_ID,SOURCE_PREY_NAME,DATABASE_PREY_NAME,PHYSIOLOG_STATE,SED_ORIGIN,PREY_PARTS,LIFE_HIST_STAGE,COND_INDEX,SEX,SEX_RATIO,LEN_TYPE,MIN_LEN,MAX_LEN,MN_LEN,BIOMASS,PCT_BIOMASS,N_CONS,PCT_N_CONS,VOL_CONS,PCT_VOL_CONS,FREQ_OCC,PCT_FREQ_OCC,IRI,PCT_IRI,IRIa,IIR,E,PREY_NOTES,FB_FOOD_I,FB_FOOD_II,FB_FOOD_III,FB_STAGE
4l,Slan.3,Section Brachyura,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001018,0.002,NA,NA,NA,NA,1,0.018,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.3,fish material,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004072,0.008,NA,NA,NA,NA,2,0.036,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.3,fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,0.013234,0.026,NA,NA,NA,NA,9,0.161,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.3,eggs,Animalia,NA,NA,eggs,eggs,NA,NA,NA,NA,NA,NA,NA,0.012216,0.024,NA,NA,NA,NA,6,0.107,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.3,digested material,Organic matter,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311508,0.612,NA,NA,NA,NA,53,0.946,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Class Crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005096,0.014,NA,NA,NA,NA,2,0.034,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Subclass Copepoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060424,0.166,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Temora turbinata,Temora turbinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0.328,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Labidocera aestiva,Labidocera aestiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0.655,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Mysidopsis sp.,Mysidopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021112,0.058,NA,NA,NA,NA,17,0.293,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Suborder Natantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002184,0.006,NA,NA,NA,NA,3,0.052,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Family Penaeidae,Penaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000364,0.001,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Penaeus sp.,Penaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001092,0.003,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,Suborder Reptantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000364,0.001,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,0.01092,0.03,NA,NA,NA,NA,16,0.276,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.4,digested material,Organic matter,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262444,0.721,NA,NA,NA,NA,58,1,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Class Crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,3,0.049,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Subclass Ostracoda,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,1,0.016,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Subclass Copepoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061236,0.003,NA,NA,NA,NA,4,0.066,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Temora turbinata,Temora turbinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.098,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Labidocera aestiva,Labidocera aestiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0.508,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Phyllopus sp.,Nullosetigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.036,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Acartia tonsa,Acartia tonsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0.377,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Mysidopsis almyra,Americamysis almyra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,1,0.016,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Mysidopsis sp.,Mysidopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040824,0.002,NA,NA,NA,NA,4,0.066,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Order Cumacea,Cumacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,3,0.049,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Suborder Natantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,5,0.082,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Penaeus sp.,Penaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10206,0.005,NA,NA,NA,NA,1,0.016,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Trachypenaeus sp.,Trachypenaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,1,0.016,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Lucifer faxoni,Lucifer faxoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,12,0.197,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Reptantia zoea,Decapoda,NA,NA,NA,zoea,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,9,0.148,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,Callinectes sapidus,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,2,0.033,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,fish material,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.064996,0.983,NA,NA,NA,NA,8,0.131,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,1,0.016,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,eggs,Animalia,NA,NA,eggs,eggs,NA,NA,NA,NA,NA,NA,NA,0.020412,< 0.001,NA,NA,NA,NA,2,0.033,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Slan.5,digested material,Organic matter,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10206,0.005,NA,NA,NA,NA,55,0.902,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Class Gastropoda,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028655,0.011,NA,NA,NA,NA,2,0.091,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Mulinia lateralis,Mulinia lateralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08336,0.032,NA,NA,NA,NA,2,0.091,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Squilla empusa,Squilla empusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13546,0.052,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Suborder Hyperiidea,Hyperiidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,< 0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Ogyrides limicola,Ogyrides limicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Automate sp.,Automate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,< 0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Sicyonia dorsalis,Sicyonia dorsalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127645,0.049,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Subfamily Penaeidae,Penaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070335,0.027,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Penaeus sp.,Penaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1042,0.04,NA,NA,NA,NA,2,0.091,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Trachypenaeus similis,Rimapenaeus similis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252685,0.097,NA,NA,NA,NA,3,0.136,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Suborder Reptantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,< 0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Albunea sp.,Albunea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013025,0.005,NA,NA,NA,NA,2,0.091,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Iliacantha liodactylus,Iliacantha liodactylus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,< 0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Family Portunidae,Portunidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85444,0.328,NA,NA,NA,NA,8,0.364,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Callinectes sapidus,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,< 0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,Portunus gibbesii,Portunus gibbesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26571,0.102,NA,NA,NA,NA,5,0.227,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,fish material,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02605,0.01,NA,NA,NA,NA,2,0.102,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,0.002605,< 0.001,NA,NA,NA,NA,1,0.045,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.1,digested material,Organic matter,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96938,0.756,NA,NA,NA,NA,20,0.909,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Class Polychaeta,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018132,0.012,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Narsarius acutus,Nassarius acutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022665,0.015,NA,NA,NA,NA,2,0.083,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Class Crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001511,< 0.001,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Subclass Copepoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012088,0.008,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Squilla sp.,Squilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021154,0.014,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Suborder Natantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083105,0.055,NA,NA,NA,NA,5,0.208,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Leptochela serratorbita,Leptochela serratorbita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071017,0.047,NA,NA,NA,NA,2,0.083,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Section Penaeidae,Penaeidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001511,< 0.001,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Sicyonia dorsalis,Sicyonia dorsalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139012,0.092,NA,NA,NA,NA,2,0.083,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Sicyonia brevirostris,Sicyonia brevirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055907,0.037,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Suborder Reptantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069506,0.046,NA,NA,NA,NA,7,0.292,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Albunea sp.,Albunea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001511,0.001,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Section Brachyura,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013599,0.009,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Family Leucosiidae,Leucosiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010577,0.007,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Iliacantha liodactylus,Iliacantha liodactylus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051374,0.034,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Callinectes similis,Callinectes similis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054396,0.036,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Portunus spinimanus,Portunus spinimanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004533,0.003,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Pinnixa sp.,Pinnixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004533,0.003,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Neopanopeus sp.,Neopanope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01511,0.01,NA,NA,NA,NA,2,0.083,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,Osachela sp.,Osachila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134479,0.089,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,fish material,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009066,0.006,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,0.001511,< 0.001,NA,NA,NA,NA,1,0.042,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.2,digested material,Organic matter,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723769,0.479,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Class Crustacea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021056,0.047,NA,NA,NA,NA,9,0.18,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Subclass Copepoda,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059136,0.132,NA,NA,NA,NA,2,0.04,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Temora turbinata,Temora turbinata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.06,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Labidocera aestiva,Labidocera aestiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0.56,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Subclass Malacostraca,Malacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000896,0.002,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Mysidopsis sp.,Mysidopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004928,0.011,NA,NA,NA,NA,3,0.06,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Order Cumacea,Cumacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000896,0.002,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Suborder Natantia,Decapoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112,0.025,NA,NA,NA,NA,10,0.2,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Section Caridea,Caridea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003136,0.007,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Reptantia megalops,Decapoda,NA,NA,NA,megalops,NA,NA,NA,NA,NA,NA,NA,0.000896,0.002,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Reptantia zoea,Decapoda,NA,NA,NA,zoea,NA,NA,NA,NA,NA,NA,NA,0.000896,0.002,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,Order Plecoptera,Plecoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001792,0.004,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,fish material,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005824,0.013,NA,NA,NA,NA,5,0.1,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,fish scales,Actinopterygii,NA,NA,scales,NA,NA,NA,NA,NA,NA,NA,NA,0.335104,0.748,NA,NA,NA,NA,48,0.96,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.3,digested material,Organic matter,digestate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001792,0.004,NA,NA,NA,NA,1,0.02,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.4,Class Polychaeta,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01358,0.007,NA,NA,NA,NA,3,0.05,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.4,Class Gastropoda,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00194,0.001,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.4,Narsarius acutus,Nassarius acutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01552,0.008,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.4,Cantharus cancellarius,Cantharus cancellarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07954,0.041,NA,NA,NA,NA,1,0.017,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
4l,Ptri.4,Mulinia lateralis,Mulinia lateralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01746,0.009,NA,NA,NA,NA,5,0.083,NA,NA,NA,NA,NA,Biomass and Frequency Occurrence are calculated from percents given in text.,NA,NA,NA,NA
